店名,評論觀看數,,店名,按讚數
開囍滷肉專賣店,4700,,Giolitti,20
PIZZAROUND 比薩斜躺,11374,,La Casa del Caffe tazza d'Oro,15
HANNA Pasta Cafe,17255,,Da Nerbone,20
春山茶水舖,7057,,Nakamura Tokichi Byodo-in,11
Hong Kong Xin Hua Restaurant,12758,,MENYA INOICHI #3,16
Chun Mei Ice Shop,8415,,Kobe Beef Steak Ishida.Main-Shop,9
FUGU Japanese Gastropub,13281,,Kobe Port Tower,45
Kinkaku Ji,23403,,福太郎本店,14
Dore French Bakehouse,23451,,San Tung Chinese Restaurant,3
旭達豆漿店,15552,,Mosaic Art & Cafe 馬賽克土耳其餐廳,11
"5,TUNG",22216,,CREM 奶油甜點專門店（週一至週日468吋蛋糕均可取貨）,3
HI MATE!,42417,,Celebread,9
軟食力 Soft Power,10962,,Shao Shao Ke (Xiao Xiao Ke) Xinjiang Excellent Restaurant,6
La Casa del Caffe tazza d'Oro,9486,,Tuga,6
Da Nerbone,10347,,Gonnaeat,7
La Nuova Piazzetta,8189,,Botega del Vin,7
Nakamura Tokichi Byodo-in,22932,,Kanokwan Thai Noodle,6
MENYA INOICHI,14194,,Li Yuan,3
Kobe Beef Steak Ishida.Main-Shop,13189,,Patty's Clinic,7
Kobe Port Tower,13399,,Bao Lai Xuan,4
福太郎本店,33247,,Hills House Dining 33,8
San Tung Chinese Restaurant,18743,,Milk Shop Luck Akihabara,24
Mosaic Art & Cafe 馬賽克土耳其餐廳,24247,,RINGO Ikebukuro,8
CREM 奶油甜點專門店（週一至週日468吋蛋糕均可取貨）,62429,,Shogan Burger,11
Celebread,89896,,Spontini Cascade Harajuku,14
Shao Shao Ke (Xiao Xiao Ke) Xinjiang Excellent Restaurant,11679,,EDW yellow Shibuya,8
Tuga,30320,,Toritsune Shizendo,12
南京廣東粥,11170,,Jojoen Tokyo Opera City,8
上海邵師傅湯包,11213,,Goflex Taipei Burgers,9
Gira Pizza,10255,,PEPPINO 培皮諾小館,4
泰好吃泰國船麵,17193,,金獅樓-港式飲茶,9
Li Jia Restaurant ,32229,,Yamahan (Yamamoto Patty),6
Ponpie 澎派 Dream Plaza 水果塔專門店 甜點 生日蛋糕,10651,,Qin Wei Guan,11
FONDA MEXICO 豐富墨西哥菜,19481,,Karun Thai Tea (Gaysorn),4
Gonnaeat,23834,,SQ Boutique Hotel,8
Botega del Vin,41340,,Cloud Nine (Medical Prescriptions),14
彩豚屋 CAI TUN WU,11484,,Osteria Rialto,6
Rosmarino Specialita Italiane Breeze Center Branch,14272,,M One Cafe Daan,6
Kanokwan Thai Noodle,38303,,Pu-Jei,12
Gustave & Henri,18604,,Enoshima Koya,7
Li Yuan,37285,,Ginza Kagari (Narita Airport),8
Bao Lai Xuan,27471,,PATISSERIE TEN&,41
Milk Shop Luck Akihabara,10697,,長白小館,11
RINGO Ikebukuro,10021,,Pinatshiu ChiFeng,8
Spontini Cascade Harajuku,17845,,Xinxin Pot Roasted Pasta & Seafood Porridge,11
EDW yellow Shibuya,11085,,新迦拿鍋燒專門店,7
Toritsune Shizendo,17934,,瑪黑家紅茶專賣店,5
Ramen Kamo to Negi Ueno Okachimachi Main Store,13753,,realf 專業人體工學椅客製｜電腦椅 辦公椅 電動升降桌專賣店,6
Jojoen Tokyo Opera City,11857,,ANTICO FORNO,7
AFURI Harajuku,17727,,Regoli Pasticceria,9
Goflex Taipei Burgers,12973,,La Nuova Piazzetta,13
Tong An Curry Zhongshan Branch,14552,,,
PEPPINO 培皮諾小館,22760,,,
Shin Tung Nan Seafood,20310,,,
Bolero Western Restaurant,31409,,,
Arrival Brunch & Cafe,23624,,,
哈哈囉55泰式船麵,16329,,,
阿洋義式冰淇淋,18093,,,
青山茶行,17756,,,
豆豆里 DODOLI（永康旗艦店）,28376,,,
金獅樓-港式飲茶,32533,,,
Yamahan (Yamamoto Patty),33012,,,
GumGum Beer & Wings,18004,,,
Qin Wei Guan,41423,,,
[i]Store,11949,,,
Karun Thai Tea (Gaysorn),10078,,,
SQ Boutique Hotel,7455,,,
Cloud Nine (Medical Prescriptions),14864,,,
Osteria Rialto,21100,,,
On The Road,21110,,,
角屋關東煮,17801,,,
M One Cafe Daan,63680,,,
Miacucina,29974,,,
親勝小火鍋,12969,,,
Kaifun Breeze NanShan Branch,18278,,,
Bula Kaya Toast (Tainan),15460,,,
堯平布朗尼二店,23495,,,
Pu-Jei,100295,,,
The Lasagna Bar （請拜訪創始店）,16401,,,
KATSU 昕 熟成豬排蓋飯,19854,,,
Enoshima Koya,16860,,,
Ginza Kagari (Narita Airport),9149,,,
PATISSERIE TEN&,37557,,,
La Mole Taipei,27144,,,
MUSKOX Caf'e Bistro,16612,,,
長白小館,35392,,,
Fireweeds,9196,,,
姥義麵 La pasta di nonna 義大利小館,19940,,,
Ruby's,7803,,,
Pinatshiu ChiFeng,13470,,,
雞頭烤肉鹽酥雞,26804,,,
Xinxin Pot Roasted Pasta & Seafood Porridge,11371,,,
新迦拿鍋燒專門店,8087,,,
瑪黑家紅茶專賣店,16125,,,
Come See Pizza National Chengchi University,17332,,,
The Diner Ruian Branch,21269,,,
realf 專業人體工學椅客製｜電腦椅 辦公椅 電動升降桌專賣店,18018,,,
ANTICO FORNO,25712,,,
